prompt_id,seed,path,prompt,width,height,num_inference_steps,guidance_scale
0,0,data/images/0/0.png,"gothic vault boss, white stone carving, red heraldic shield, silver fess, golden scallop shells, pointed arch tracery, trefoil motifs, ribbed vault intersection, 15th-century gothic architecture, medieval ceiling detail, pilgrimage symbol, heraldic ceiling boss, ecclesiastical stonework",1024,1024,50,7.5
0,1,data/images/0/1.png,"gothic vault boss, white stone carving, red heraldic shield, silver fess, golden scallop shells, pointed arch tracery, trefoil motifs, ribbed vault intersection, 15th-century gothic architecture, medieval ceiling detail, pilgrimage symbol, heraldic ceiling boss, ecclesiastical stonework",1024,1024,50,7.5
1,0,data/images/1/0.png,"repurposed gothic church interior, pointed rib vaults, lancet stained glass windows, worn stone walls, raised platforms, modern lighting, late gothic architecture, sacred space adapted, gothic arches, aged masonry, medieval church reused, vaulted nave, contemporary exhibition space",1024,1024,50,7.5
1,1,data/images/1/1.png,"repurposed gothic church interior, pointed rib vaults, lancet stained glass windows, worn stone walls, raised platforms, modern lighting, late gothic architecture, sacred space adapted, gothic arches, aged masonry, medieval church reused, vaulted nave, contemporary exhibition space",1024,1024,50,7.5
2,0,data/images/2/0.png,"15th century gothic side chapel, stone altar on granite platform, lancet stained glass window, geometric tracery, grisaille glass, deep splayed frame, trefoils and mouchettes, limestone plastered wall, gothic piscina niche, subdued medieval lighting, french gothic oratory",1024,1024,50,7.5
2,1,data/images/2/1.png,"15th century gothic side chapel, stone altar on granite platform, lancet stained glass window, geometric tracery, grisaille glass, deep splayed frame, trefoils and mouchettes, limestone plastered wall, gothic piscina niche, subdued medieval lighting, french gothic oratory",1024,1024,50,7.5
3,0,data/images/3/0.png,"Late gothic rural parish church, single nave, timber barrel vault ceiling, exposed wooden beams, pale stone walls, stone altar, lancet stained glass windows, pointed arches, rustic limestone interior, wooden pews, central stone aisle, wall pulpit, gothic devotional statues, medieval church lighting",1024,1024,50,7.5
3,1,data/images/3/1.png,"Late gothic rural parish church, single nave, timber barrel vault ceiling, exposed wooden beams, pale stone walls, stone altar, lancet stained glass windows, pointed arches, rustic limestone interior, wooden pews, central stone aisle, wall pulpit, gothic devotional statues, medieval church lighting",1024,1024,50,7.5
4,0,data/images/4/0.png,"rural late gothic chapel interior, barrel-vaulted wooden ceiling, exposed timber ribs, transverse tie beams, silvery aged wood, stone walls, narrow arched windows, medieval vernacular architecture, simple ecclesiastical space, faded heraldic bosses, minimal ornementation, early gothic rural church",1024,1024,50,7.5
4,1,data/images/4/1.png,"rural late gothic chapel interior, barrel-vaulted wooden ceiling, exposed timber ribs, transverse tie beams, silvery aged wood, stone walls, narrow arched windows, medieval vernacular architecture, simple ecclesiastical space, faded heraldic bosses, minimal ornementation, early gothic rural church",1024,1024,50,7.5
5,0,data/images/5/0.png,"flemish gothic chapel, bishop funeral, gothic apse, chasse reliquary on altar, clerics in vestments, red chasuble, mitre, medieval nobility, burgundian attire, stained glass windows, early netherlandish realism, sacred ceremony, richly decorated interior, gothic statues, vertical architecture",1024,1024,50,7.5
5,1,data/images/5/1.png,"flemish gothic chapel, bishop funeral, gothic apse, chasse reliquary on altar, clerics in vestments, red chasuble, mitre, medieval nobility, burgundian attire, stained glass windows, early netherlandish realism, sacred ceremony, richly decorated interior, gothic statues, vertical architecture",1024,1024,50,7.5
6,0,data/images/6/0.png,"15th-century gothic chapel, bishop in liturgical vestments, carved polychrome retable, gothic niches, kneeling noble donor, angel parting curtain, oriental carpet, embroidered altar cloth, early netherlandish painting, religious ceremony, pointed arches, sacred gothic architecture, high realism, divine mass scene, sculpted saints",1024,1024,50,7.5
6,1,data/images/6/1.png,"15th-century gothic chapel, bishop in liturgical vestments, carved polychrome retable, gothic niches, kneeling noble donor, angel parting curtain, oriental carpet, embroidered altar cloth, early netherlandish painting, religious ceremony, pointed arches, sacred gothic architecture, high realism, divine mass scene, sculpted saints",1024,1024,50,7.5
7,0,data/images/7/0.png,"French gothic quadripartite rib vault, pointed arches, pale limestone, circular boss with floral motif, 15th-century gothic architecture, intersecting ribs, austere gothic style, medieval vaulting, clean stone geometry, vertical emphasis",1024,1024,50,7.5
7,1,data/images/7/1.png,"French gothic quadripartite rib vault, pointed arches, pale limestone, circular boss with floral motif, 15th-century gothic architecture, intersecting ribs, austere gothic style, medieval vaulting, clean stone geometry, vertical emphasis",1024,1024,50,7.5
8,0,data/images/8/0.png,"flamboyant gothic stone doorway, ogee arch with foliate tracery, heraldic shield with ermine, openwork pinnacle finial, deep arch moldings, pale limestone wall, flamboyant gothic ornament, crocketed detailing, french late gothic architecture, vibrant stained glass window, religious scene glass, vertical gothic design",1024,1024,50,7.5
8,1,data/images/8/1.png,"flamboyant gothic stone doorway, ogee arch with foliate tracery, heraldic shield with ermine, openwork pinnacle finial, deep arch moldings, pale limestone wall, flamboyant gothic ornament, crocketed detailing, french late gothic architecture, vibrant stained glass window, religious scene glass, vertical gothic design",1024,1024,50,7.5
9,0,data/images/9/0.png,"flamboyant gothic doorway, ogee arch with foliate tracery, heraldic shield with ermine, pinnacle finial, layered moldings, pale limestone wall, dark wooden panel door, central iron knocker, clustered colonnettes, vertical gothic shafts, french late gothic architecture, ecclesiastical entrance",1024,1024,50,7.5
9,1,data/images/9/1.png,"flamboyant gothic doorway, ogee arch with foliate tracery, heraldic shield with ermine, pinnacle finial, layered moldings, pale limestone wall, dark wooden panel door, central iron knocker, clustered colonnettes, vertical gothic shafts, french late gothic architecture, ecclesiastical entrance",1024,1024,50,7.5
10,0,data/images/10/0.png,"gothic chapel interior, stained glass lancet window, vivid biblical glass scenes, rib vaulted apse, ashlar limestone walls, wooden carved gallery, figural balustrade, medieval wooden columns, stone floor, gothic tabernacle, painted saint statue, devotional candles, intimate sacred space, late medieval french style",1024,1024,50,7.5
10,1,data/images/10/1.png,"gothic chapel interior, stained glass lancet window, vivid biblical glass scenes, rib vaulted apse, ashlar limestone walls, wooden carved gallery, figural balustrade, medieval wooden columns, stone floor, gothic tabernacle, painted saint statue, devotional candles, intimate sacred space, late medieval french style",1024,1024,50,7.5
11,0,data/images/11/0.png,"flamboyant gothic rose window, intricate curvilinear tracery, angel stained glass figures, radiant colored glass, red blue green yellow palette, floral gothic motifs, french 15th-century cathedral, luminous medieval window, radial petal pattern, ornate stone mullions, flamboyant gothic church",1024,1024,50,7.5
11,1,data/images/11/1.png,"flamboyant gothic rose window, intricate curvilinear tracery, angel stained glass figures, radiant colored glass, red blue green yellow palette, floral gothic motifs, french 15th-century cathedral, luminous medieval window, radial petal pattern, ornate stone mullions, flamboyant gothic church",1024,1024,50,7.5
12,0,data/images/12/0.png,"French gothic stained glass window, flamboyant tracery, heraldic shields, lancet panels, narrative biblical scenes, medieval figures, expressive gestures, red and blue glass, 15th-century church, glowing sacred light, medieval stained glass, flamboyant tracery, illuminated window, noble patronage",1024,1024,50,7.5
12,1,data/images/12/1.png,"French gothic stained glass window, flamboyant tracery, heraldic shields, lancet panels, narrative biblical scenes, medieval figures, expressive gestures, red and blue glass, 15th-century church, glowing sacred light, medieval stained glass, flamboyant tracery, illuminated window, noble patronage",1024,1024,50,7.5
13,0,data/images/13/0.png,"15th-century gothic stained glass triptych, female saint, mitred bishops, kneeling devotee, angel with scroll, narrative panels, red and blue backgrounds, gothic tracery, architectural framing, medieval city towers, emotional embrace, vibrant colored glass, religious storytelling, northern gothic style",1024,1024,50,7.5
13,1,data/images/13/1.png,"15th-century gothic stained glass triptych, female saint, mitred bishops, kneeling devotee, angel with scroll, narrative panels, red and blue backgrounds, gothic tracery, architectural framing, medieval city towers, emotional embrace, vibrant colored glass, religious storytelling, northern gothic style",1024,1024,50,7.5
14,0,data/images/14/0.png,"15th-century gothic stained glass triptych, Virgin iconography, monastic teaching scene, friar with books, seated novices, saint enthroned with scroll, divine vision with angel, saint writing at desk, gothic architecture, pointed arches, red blue white stained glass, spiritual inspiration, medieval female scholar",1024,1024,50,7.5
14,1,data/images/14/1.png,"15th-century gothic stained glass triptych, Virgin iconography, monastic teaching scene, friar with books, seated novices, saint enthroned with scroll, divine vision with angel, saint writing at desk, gothic architecture, pointed arches, red blue white stained glass, spiritual inspiration, medieval female scholar",1024,1024,50,7.5
15,0,data/images/15/0.png,"saint elizabeth of hungary, medieval charity scene, silver ewer, kneeling friar, poor and sick figures, facial sores, golden halo, crowned saint, rich drapery, gothic background, classical niche, northern renaissance painting, sacred atmosphere, architectural frame, devotional altarpiece",1024,1024,50,7.5
15,1,data/images/15/1.png,"saint elizabeth of hungary, medieval charity scene, silver ewer, kneeling friar, poor and sick figures, facial sores, golden halo, crowned saint, rich drapery, gothic background, classical niche, northern renaissance painting, sacred atmosphere, architectural frame, devotional altarpiece",1024,1024,50,7.5
16,0,data/images/16/0.png,"gothic rib vault ceiling, red blue gold polychromy, pointed arches, clustered columns, pale stone walls, gothic window tracery, sculpted bosses, medieval church interior, 15th century architecture, stone vaults, saint statues, vertical gothic space",1024,1024,50,7.5
16,1,data/images/16/1.png,"gothic rib vault ceiling, red blue gold polychromy, pointed arches, clustered columns, pale stone walls, gothic window tracery, sculpted bosses, medieval church interior, 15th century architecture, stone vaults, saint statues, vertical gothic space",1024,1024,50,7.5
17,0,data/images/17/0.png,"gothic wall painting, heraldic lions rampant, red band with white lions, foliated frieze, acanthus leaf pattern, blue and green vegetal motif, medieval mural, 15th century noble interior, pseudo-mosaic tile design, yellow red blue trompe-l'œil, geometric medieval wall art, quatrefoil tile motif, preserved gothic decoration",1024,1024,50,7.5
17,1,data/images/17/1.png,"gothic wall painting, heraldic lions rampant, red band with white lions, foliated frieze, acanthus leaf pattern, blue and green vegetal motif, medieval mural, 15th century noble interior, pseudo-mosaic tile design, yellow red blue trompe-l'œil, geometric medieval wall art, quatrefoil tile motif, preserved gothic decoration",1024,1024,50,7.5
18,0,data/images/18/0.png,"gothic church polychromy, ribbed vault detail, red ochre and white bands, stenciled foliate motifs, restored medieval paint, patinated ribs, late gothic architecture, architectural polychromy, 15th century choir vault, gothic stencil decoration, intersecting ribs, ecclesiastical ornament",1024,1024,50,7.5
18,1,data/images/18/1.png,"gothic church polychromy, ribbed vault detail, red ochre and white bands, stenciled foliate motifs, restored medieval paint, patinated ribs, late gothic architecture, architectural polychromy, 15th century choir vault, gothic stencil decoration, intersecting ribs, ecclesiastical ornament",1024,1024,50,7.5
19,0,data/images/19/0.png,"gothic chapel stained glass window, four lancet panels, passion of christ scenes, vibrant medieval colors, trefoil tracery, ornate altar, iron candlesticks, central crucifix, whitewashed walls, late gothic interior, narrative glass, gilded saint statues, devotional atmosphere, stone window frame",1024,1024,50,7.5
19,1,data/images/19/1.png,"gothic chapel stained glass window, four lancet panels, passion of christ scenes, vibrant medieval colors, trefoil tracery, ornate altar, iron candlesticks, central crucifix, whitewashed walls, late gothic interior, narrative glass, gilded saint statues, devotional atmosphere, stone window frame",1024,1024,50,7.5
20,0,data/images/20/0.png,"15th-century french gothic stained glass, flamboyant gothic tracery, stacked biblical scenes, red and blue robes, micro-architecture, grisaille background, narrative window, pointed arches, medieval church light, saint statue, illuminated glass, flamboyant crockets, vibrant colored glass, religious storytelling, chapel interior",1024,1024,50,7.5
20,1,data/images/20/1.png,"15th-century french gothic stained glass, flamboyant gothic tracery, stacked biblical scenes, red and blue robes, micro-architecture, grisaille background, narrative window, pointed arches, medieval church light, saint statue, illuminated glass, flamboyant crockets, vibrant colored glass, religious storytelling, chapel interior",1024,1024,50,7.5
21,0,data/images/21/0.png,"gothic chapel interior, moss-covered stone floor, stained glass with religious scenes, flamboyant tracery, statue of saint fiacre in gilded niche, pointed arches, lancet windows, diamond-paned clear glass, carved stone altar, medieval devotional space, gothic wall niches, decayed sacred setting, soft ambient light",1024,1024,50,7.5
